scaffold1	scaffold2	connections
11852	8467	8
14366	3401	44
1042	7115	21
243	35	10
78	862	6
4450	561	29
3686	681	30
3598	446	5
2964	7922	12
10749	11789	21
11	14354	12
12196	2003	21
657	84	404
1631	3772	2
716	828	3
1534	351	6
1536	7933	12
1007	12228	11
2090	6757	5
4058	4762	27
144	243	11
1092	7	10
2100	9267	3
1757	82	10
4007	4046	11
12502	45	30
100	6828	16
2385	865	8
128	85	18
294	7922	23
1639	2100	2
1280	828	8
1005	505	5
34	83	8
1097	6129	15
10079	2817	3
1636	716	7
1041	561	18
3241	4783	25
304	4948	3
1903	57	8
2266	3992	40
2655	3337	11
2114	246	2
2271	3822	18
3556	838	2
10438	2325	8
1828	6680	3
1026	1268	41
253	38	10
1106	2729	5
12518	6138	2
1552	3992	25
1230	190	21
10079	3819	9
10963	6826	6
249	356	22
515	899	377
11175	2330	8
119	424	33
